OZELLIK,mean,std
PIG_ISTASYONU_SAYISI,5217751.047959739,8395734.008322408
HAT_VANASI_SAYISI,22885134.69917954,18723702.774606064
BORU_CAPI,119066789.88512182,112637934.67076476
HAT_UZUNLUGU_KM,157692784.33874512,75918494.53879222
