MODEL_KODU,MODEL,MODEL_GRUBU,R2,R2_ALT95,R2_UST95,RMSE,RMSE_ALT95,RMSE_UST95,NRMSE,NRMSE_ALT95,NRMSE_UST95,MAE,MAE_ALT95,MAE_UST95,MAPE,MAPE_ALT95,MAPE_UST95,MedAE,MedAE_ALT95,MedAE_UST95,WAPE,WAPE_ALT95,WAPE_UST95,RMSLE,RMSLE_ALT95,RMSLE_UST95,Bias,Bias_ALT95,Bias_UST95
RF,Rastgele Orman (RF),Tez-klasik,0.5796479482633852,0.3941725042803651,0.9371837168597132,555403060.5468471,125620567.67086968,934471011.247448,115.41580646864709,35.74424357803844,158.75548835787657,169851852.18367115,79267754.40801148,314682605.6470888,53.49007372319413,27.751819791226826,98.59568960919869,58070138.28881621,45247475.19433299,69535019.09733802,35.29614777540161,22.24469410068421,49.773269410354565,0.513182044761928,0.3237145585971968,0.7122760171441422,-37007798.37591516,-198390152.16941535,66023485.448086336
STACK,Stacking Ensemble (Modern),Modern ek,0.5704047072764049,0.40639993418818265,0.9059670330764863,561476313.5128558,137857576.19903278,936502909.015801,116.67786179162252,39.157566370360314,161.22680891063717,181481650.62250456,84644597.70800614,347716404.62158597,71.35963544250689,32.95558567119955,138.7954074173722,59976119.246258825,47954367.30039781,77375894.26666375,37.71288376631276,22.738773925500467,52.20391847047813,0.6291383795256928,0.423514163611949,0.8516394335983657,-32699953.152890928,-208033663.2610659,76018162.11608939
XGB,XGBoost (XGB),Tez-klasik,0.5406373051459785,0.3461977268592607,0.9224461284516376,580603359.3309704,124559815.35061407,974332265.2485529,120.6525669657116,36.3608745622427,167.39988539342949,175963115.42580646,80264501.1476129,329151111.89564514,54.11717199986646,29.184217687959734,95.42658338332087,59013874.82999999,34726496.01337501,86417876.01825,36.566101842523196,21.761117357980627,51.9426706105841,0.5676352735893373,0.366769093779512,0.7477497539007191,-59840396.0635484,-222196420.70439118,43751721.84880644
ER,ElasticNet (ER),Tez-klasik,0.5301148038525265,0.3911551263948603,0.8541263002427728,587215572.436571,180174797.78734988,958308356.4980599,122.0266211658704,48.98834099629305,163.51463323017688,222452954.2144001,114660479.85574794,389310043.3907158,99.47791732208069,51.35848113878727,182.6255071747235,75683457.16491283,48473609.11117327,100603083.60717896,46.22694568285047,29.53177183684976,62.53482809470786,3.313420983760848,0.6301673214545369,5.251399594315017,-814913.1923139213,-165701460.68592846,117017418.53798142
KNN,K-En Yakın Komşu (KNN),Tez-klasik,0.5105528242552335,0.3286731462380208,0.8809354303857461,599314239.1416228,161519610.8805516,986245755.7216341,124.54079055770639,49.321129003430066,171.71603720343845,202657995.6296802,98296886.80523601,357067563.23717,51.25966018364962,32.46683321034372,84.48175632508817,62558837.42375001,51643732.19827834,84818705.20576815,42.11344456742726,28.65109569068731,55.43893025821544,0.5443626372862743,0.3910610997114845,0.7119358650796563,-92114541.00758113,-250146747.77447036,19705177.764933914
CAT,CatBoost (Modern),Modern ek,0.46279775112358223,0.2723874004876551,0.863143946430585,627871244.9963416,141766359.53134173,1055726031.3905044,130.47509322036564,44.71895504823392,176.37127296857014,195290420.63776007,87481449.8882177,383877181.51087844,51.55381517870369,29.19247185935514,90.03427026109091,59289480.84151154,39641726.81360389,73453410.40132934,40.58242201855355,26.939784176007073,54.64809044987042,0.5385750218961748,0.357962444381509,0.7327699644586863,-97842647.86299689,-291110882.13308483,20764775.26277659
HGB,Histogram Gradient Boosting (Modern),Modern ek,0.4151528913578326,0.26770477095910916,0.7681682503086621,655123014.4045311,208593976.16315672,1048604407.4855672,136.13816058057603,62.33246497948979,178.62841763071754,246146830.17120665,125727131.81684898,410591313.6976673,72.47752930033585,39.10570211267712,131.85830735647983,62857283.66291706,53029821.56792769,90639827.63683006,51.150663242545576,36.59893593519855,63.712585870281224,3.487492092634135,0.7257315634135395,5.424650347291957,-75927350.30508985,-257029833.70068717,56205140.189941704
CDR,Çoklu Doğrusal Regresyon (ÇDR),Tez-klasik,0.3771975901241963,-0.9873890344094304,0.7907642211310191,676046898.9471693,271358797.1078707,1018374397.437799,140.48625871054978,64.75063993363284,204.93317267301794,304215868.90698284,185436009.3772255,465946616.3425137,130.78251619037147,72.58773031163992,218.51098186293393,124094476.46841407,94535338.91863218,161307813.23290974,63.2177284293126,42.992262295552884,94.09001597295301,8.852438155959064,6.676432501646225,10.679720367373475,57129113.22638322,-107844895.36778963,228249625.6632525
