SIRA_NO,PROJE_ADI,SOZLESME_BEDELI_NOMINAL_TL,SOZLESME_TARIHI_KAYNAK,FIYAT_GUNCELLEME_KATSAYISI,BORU_CAPI,HAT_UZUNLUGU_KM,HAT_VANASI_SAYISI,PIG_ISTASYONU_SAYISI,GUNCEL_SOZLESME_BEDELI_TL_TEMMUZ_2026,DEGERLENDIRME_KUMESI,CDR_DEGERLENDIRME_TAHMIN,CDR_TAM_TAHMIN,CDR_DEGERLENDIRME_HATA,ER_DEGERLENDIRME_TAHMIN,ER_TAM_TAHMIN,ER_DEGERLENDIRME_HATA,KNN_DEGERLENDIRME_TAHMIN,KNN_TAM_TAHMIN,KNN_DEGERLENDIRME_HATA,RF_DEGERLENDIRME_TAHMIN,RF_TAM_TAHMIN,RF_DEGERLENDIRME_HATA,XGB_DEGERLENDIRME_TAHMIN,XGB_TAM_TAHMIN,XGB_DEGERLENDIRME_HATA,CAT_DEGERLENDIRME_TAHMIN,CAT_TAM_TAHMIN,CAT_DEGERLENDIRME_HATA,HGB_DEGERLENDIRME_TAHMIN,HGB_TAM_TAHMIN,HGB_DEGERLENDIRME_HATA,STACK_DEGERLENDIRME_TAHMIN,STACK_TAM_TAHMIN,STACK_DEGERLENDIRME_HATA,RF_ALT90_YAKLASIK,RF_UST90_YAKLASIK
11,EŞME,166946000.0,2024-06-04,1.5940630158853761,16.0,44.46,2.0,1.0,266122444.25,Nested CV eğitim OOF,0.0,161094084.07376987,-266122444.25,388972669.519496,406117691.51317865,122850225.26949602,200955822.0525,279792130.70666665,-65166622.19749999,301062857.61151624,287112973.2612816,34940413.36151624,184989568.0,251906176.0,-81132876.25,261096546.18778256,246343508.3400896,-5025898.062217444,754222306.2128569,265413074.2607066,488099861.9628569,273463530.9045033,312223251.13068444,7341086.654503286,0.0,709444265.4660145
12,TİREBOLU,52966687.0,2025-01-03,1.4379812137391188,8.0,12.16,0.0,2.0,76165100.86,Nested CV eğitim OOF,0.0,0.0,-76165100.86,51941656.16170615,0.0,-24223444.69829385,98098931.11999999,72965290.17333333,21933830.25999999,86314886.66873331,64281164.33122239,10149785.808733314,86160400.0,113070024.0,9995299.14,131222854.33117813,107448382.88091248,55057753.47117813,77006819.86763546,55020930.162462495,841719.0076354593,88883749.09001064,53477361.20343548,12718648.230010644,0.0,494696294.52323157
13,GÖRELE,68993134.0,2025-01-03,1.4379812137538206,8.0,17.29,0.0,2.0,99210830.57,Nested CV eğitim OOF,0.0,0.0,-99210830.57,0.0,0.0,-99210830.57,98611555.95070574,72965290.17333333,-599274.619294256,81122568.48073503,87073118.59729138,-18088262.08926496,134063744.0,113070024.0,34852913.43000001,108177573.20086616,94839793.21315712,8966742.63086617,3681819.6258594375,86421255.46693109,-95529010.94414055,23113677.32286775,83222080.19781947,-76097153.24713224,0.0,489503976.33523333
14,AYANCIK,178999588.46,2025-03-11,1.3821521917928101,12.0,44.89,1.0,2.0,247404673.52,Nested CV eğitim OOF,191489627.38691998,195069544.95287937,-55915046.133080035,291310819.8848433,260881358.97281596,43906146.36484328,186480850.4025,185226891.59333333,-60923823.11750001,163456915.66945884,223918782.32958832,-83947757.85054117,150966864.0,224169264.0,-96437809.52000001,178474705.9809469,218661195.0338815,-68929967.53905311,194374851.95207232,225522342.49817365,-53029821.56792769,196097107.67157108,253970447.95915702,-51307565.848428935,0.0,571838323.5239571
15,A.KARAHİSAR MERKEZ 2,102999883.23,2025-05-09,1.3124383965381705,10.0,31.28,0.0,2.0,135181001.59,Nested CV eğitim OOF,295851273.61235183,177752703.63029987,160670272.02235183,215611182.2660247,113937745.34351712,80430180.6760247,108439866.95666666,105748457.45333333,-26741134.63333334,117419731.49633336,117779319.23919667,-17761270.093666643,124501368.0,121755224.0,-10679633.590000004,106786902.50296098,120931162.85905117,-28394099.087039024,117133963.42906617,127009047.97939143,-18047038.160933837,135859569.16985035,142617645.1588186,678567.5798503458,0.0,525801139.3508316
16,DİDİM,216129000.0,2025-10-24,1.1793296801447284,16.0,48.27,1.0,2.0,254887344.44,Nested CV eğitim OOF,369246307.5062778,402042217.5934592,114358963.0662778,462034953.21754587,426600870.8577167,207147608.77754587,147771031.12333333,197634366.44333336,-107116313.31666666,228892124.44100022,227958327.68317714,-25995219.998999774,221980912.0,228723520.0,-32906432.439999998,248661262.51880825,223795251.54367614,-6226081.921191752,266456382.2252429,259752301.1655431,11569037.785242915,263844698.207044,288235000.6647412,8957353.767044008,0.0,637273532.2954985
17,DİNAR,37724745.0,2026-01-05,1.1307374151899503,8.0,5.07,0.0,2.0,42656780.65,Nested CV eğitim OOF,0.0,0.0,-42656780.65,0.0,0.0,-42656780.65,95956525.5790567,54113940.199999996,53299744.9290567,78658890.93021885,63207315.483102314,36002110.28021885,135971232.0,113070024.0,93314451.35,112285426.22467518,114759083.23485655,69628645.57467517,3681819.6258594375,55020930.162462495,-38974961.02414056,12888757.95278716,47157771.423306644,-29768022.697212838,0.0,487040298.7847171
18,KULUNCAK ELAZIĞ,980938578.1,2026-02-25,1.1039333884670675,20.0,163.28,5.0,2.0,1082890848.4,Nested CV eğitim OOF,1295801924.6739738,1253741188.339296,212911076.2739737,1076580077.1603298,1192461409.0499074,-6310771.239670277,1132878567.8675,1008282834.7266666,49987719.46749997,1652670357.5802383,1612051043.3940308,569779509.1802382,1379326592.0,1343228416.0,296435743.5999999,1127927684.2976832,1025859757.8550801,45036835.89768314,1278895981.5627816,1337463267.6873536,196005133.16278148,1226716075.6395466,1400108235.2283945,143825227.23954654,1244288949.72574,2061051765.4347367
19,HİZAN,194600000.0,2026-03-04,1.0791314893627955,12.0,49.3,1.0,2.0,209998987.83,Nested CV eğitim OOF,262337245.6731012,263298987.74261802,52338257.84310117,303924358.0312434,284590235.8519268,93925370.20124337,279994597.8600942,251147940.73666668,69995610.03009418,255246463.024333,240351861.0209172,45247475.19433299,268794528.0,229753264.0,58795540.16999999,261004986.90707853,220120352.7587142,51005999.07707852,258281438.62530875,217189668.78451926,48282450.79530874,288439212.26925635,249146307.7181528,78440224.43925634,0.0,663627870.8788313
20,MUT MERSİN,2877000000.0,2026-03-01,1.0791314893430657,40.0,167.96,5.0,2.0,3104661294.84,Nested CV eğitim OOF,2153649932.1948147,2099542467.4400163,-951011362.6451855,1598678240.731348,1955362262.020276,-1505983054.108652,2397223553.4900002,2115689268.83,-707437741.3499999,2559610908.796677,2606221922.706942,-545050386.043323,2227935744.0,2611918848.0,-876725550.8400002,1780197929.381725,2417766898.2499475,-1324463365.458275,1278895981.5627816,2612969423.178373,-1825765313.2772186,1972956746.484651,2736240586.263885,-1131704548.355349,2151229500.9421787,2967992316.6511755
21,AHMETLİ SARIGÖL,112000000.0,güncel,1.0,8.0,32.6,0.0,2.0,112000000.0,Nested CV eğitim OOF,273945354.4434677,120835669.53157777,161945354.44346768,159949134.83737814,47260238.699507535,47949134.837378144,116746619.04333334,120842704.42,4746619.043333337,149912862.9378997,120359052.08916426,37912862.93789971,124501368.0,121770312.0,12501368.0,105710958.45450234,119415880.50966996,-6289041.545497656,168575829.32226992,116761035.94100216,56575829.32226992,172650171.3294127,125112570.1989078,60650171.3294127,0.0,558294270.792398
22,DÖRTYOL ERZİN,152820000.0,2026-01-06,1.1307374153252192,30.0,13.8,0.0,1.0,172799291.81,Nested CV eğitim OOF,838519074.5144725,769293412.8852272,665719782.7044725,854628172.0452986,757702836.0369927,681828880.2352986,147190990.3602077,168946993.79,-25608301.449792296,164164745.881233,198798337.25622624,-8634545.928766996,413771456.0,144577616.0,240972164.19,161483269.86376733,223987783.5062376,-11316021.946232677,133822024.27186756,243820904.6916549,-38977267.538132444,62504912.963470995,306637893.7364284,-110294378.846529,0.0,572546153.7357312
23,MAGA FAZ 2 DGBH,2999999999.0,2024-01-01,1.8291402989197136,40.0,133.5,2.0,1.0,5487420894.93,Nested CV eğitim OOF,1686202262.4691982,2466752452.393992,-3801218632.460802,1450866092.5158868,1770099700.2846384,-4036554802.4141135,1180899143.6887364,2716453444.0633335,-4306521751.241264,1330256809.6684465,2533852685.5151753,-4157164085.261554,1174994176.0,2912539648.0,-4312426718.93,964274247.1873754,3447592001.6497874,-4523146647.742625,1093394107.3028638,3706266101.1998324,-4394026787.627136,1439156870.7261124,4006193004.4829683,-4048264024.203888,921875401.8139483,1738638217.522945
24,CİHANBEYLİ DGBH,189320000.0,2024-07-05,1.5637025188041411,12.0,61.4,1.0,2.0,296040160.86,Nested CV eğitim OOF,424772914.33268774,450504488.3675248,128732753.47268772,358499485.81062937,349641802.79914725,62459324.95062935,229142011.14499998,288975506.16333336,-66898149.71500003,342931026.18306816,325348825.5482376,46890865.32306814,331134016.0,291639904.0,35093855.139999986,261291575.00099784,230310389.38276267,-34748585.85900217,354601942.9277492,312392480.74973035,58561782.0677492,355342228.02310497,343292635.5092255,59302067.16310495,0.0,751312434.0375664
25,ŞARKİKARAAĞAÇ DGBH,179320000.0,2024-07-12,1.563702518793219,10.0,57.3,2.0,2.0,280403135.67,Nested CV eğitim OOF,213987194.30041432,39141646.805316746,-66415941.36958569,263663485.17215782,253825495.09282902,-16739650.497842193,245561509.20211715,309880831.4066667,-34841626.46788287,256736563.4582275,297257091.6363376,-23666572.21177253,278847712.0,292102464.0,-1555423.6700000167,251876001.6595825,237696248.10929364,-28527134.01041752,221444571.67508942,272096574.11446166,-58958563.9949106,280654239.74963546,298913215.5083627,251104.0796354413,0.0,665117971.3127258
26,ŞEBİNKARAHİSAR DGBH,265000000.0,2024-08-14,1.5378769204528302,10.0,78.1,2.0,2.0,407537383.92,Nested CV eğitim OOF,453147785.55159765,360949449.5324293,45610401.63159764,392130106.36076844,365649676.29135656,-15407277.55923158,270716606.3066667,309880831.4066667,-136820777.61333334,296134847.4552998,338943259.8667075,-111402536.46470022,305373792.0,299134656.0,-102163591.92000002,288723356.61685014,294556636.5005844,-118814027.30314988,161001291.6090208,318354555.39703566,-246536092.31097922,202073974.0255093,352891789.7258915,-205463409.89449072,0.0,704516255.309798
27,BİSMİL BİNGÖL DGBH,37853000.0,2020-03-19,11.84689240218741,20.0,126.3,4.0,2.0,448440418.1,Nested CV eğitim OOF,963289059.4923108,952194167.1667447,514848641.39231074,1011868135.0306721,993650917.6690636,563427716.930672,824289958.8808026,653790739.6466666,375849540.7808026,683181730.5727671,693092051.3179615,234741312.4727671,563734912.0,486236448.0,115294493.89999998,598629538.1070815,478578749.62678427,150189120.0070815,374949977.6483089,461460526.9727308,-73490440.45169115,899816956.8303955,584759623.9532074,451376538.73039544,274800322.7182689,1091563138.4272654
28,Bulanık Malazgirt Patnos DGBH,37337000.0,2020-09-14,10.778871352813562,14.0,63.0,2.0,2.0,402450719.7,Nested CV eğitim OOF,380509057.05374205,282008266.67315155,-21941662.646257937,394760785.48101413,432017704.11141163,-7689934.218985856,284878266.06979954,311399134.31666666,-117572453.63020045,295306647.3767114,335604412.1098608,-107144072.32328856,311013856.0,312605408.0,-91436863.69999999,287673809.82087517,269191355.94662434,-114776909.87912482,269024701.7613544,367398064.34594315,-133426017.9386456,354496352.3996022,407046102.96959126,-47954367.30039781,0.0,703688055.2312098
