SIRA_NO,PROJE_ADI,SOZLESME_BEDELI_NOMINAL_TL,SOZLESME_TARIHI_KAYNAK,FIYAT_GUNCELLEME_KATSAYISI,BORU_CAPI,HAT_UZUNLUGU_KM,HAT_VANASI_SAYISI,PIG_ISTASYONU_SAYISI,GUNCEL_SOZLESME_BEDELI_TL_TEMMUZ_2026,DEGERLENDIRME_KUMESI,CDR_DEGERLENDIRME_TAHMIN,CDR_TAM_TAHMIN,CDR_DEGERLENDIRME_HATA,ER_DEGERLENDIRME_TAHMIN,ER_TAM_TAHMIN,ER_DEGERLENDIRME_HATA,KNN_DEGERLENDIRME_TAHMIN,KNN_TAM_TAHMIN,KNN_DEGERLENDIRME_HATA,RF_DEGERLENDIRME_TAHMIN,RF_TAM_TAHMIN,RF_DEGERLENDIRME_HATA,XGB_DEGERLENDIRME_TAHMIN,XGB_TAM_TAHMIN,XGB_DEGERLENDIRME_HATA,CAT_DEGERLENDIRME_TAHMIN,CAT_TAM_TAHMIN,CAT_DEGERLENDIRME_HATA,HGB_DEGERLENDIRME_TAHMIN,HGB_TAM_TAHMIN,HGB_DEGERLENDIRME_HATA,STACK_DEGERLENDIRME_TAHMIN,STACK_TAM_TAHMIN,STACK_DEGERLENDIRME_HATA,RF_ALT90_YAKLASIK,RF_UST90_YAKLASIK
39,K.Maraş Branşman-2 DGBH,110562894.3,2025-11-07,1.1695351154532865,16.0,13.95,1.0,1.0,129307187.35,Nested CV eğitim OOF,0.0,0.0,-129307187.35,356803154.1524628,242090971.8801461,227495966.8024628,176350088.0325,125078135.67999999,47042900.682500005,138657009.89376658,144286339.03611922,9349822.543766588,118113168.0,132478776.0,-11194019.349999994,158094576.14435172,147289938.95052248,28787388.794351727,0.0,129418920.74046214,-129307187.35,205595332.12461674,167028462.09465933,76288144.77461675,0.0,547038417.7482648
40,MİLAS DGBH,31700000.53,2022-07-25,3.194389630819353,12.0,32.33,1.0,1.0,101262152.99,Nested CV eğitim OOF,193419615.70726436,89335653.28883046,92157462.71726437,284080913.5498195,193356757.24908966,182818760.55981952,162066159.66666666,147598521.76333332,60804006.67666666,166330120.13759962,138916830.54205596,65067967.14759962,128956856.0,134431568.0,27694703.010000005,153212313.97104973,153203555.13449538,51950160.98104973,216738207.4184165,96778547.28655101,115476054.4284165,193344130.32513314,133885941.7704224,92081977.33513315,0.0,574711527.9920979
41,ÇİVRİL DGBH,7973069.92,2021-03-10,9.029515554530594,10.0,31.85,0.0,2.0,71992958.86,Nested CV eğitim OOF,180989681.88960922,186571475.14734095,108996723.02960922,135924787.10652345,117002158.00136137,63931828.246523455,131003317.14772962,105748457.45333333,59010358.28772962,131021845.89019974,114334590.32055603,59028887.03019974,122789432.0,121755224.0,50796473.14,146921994.96115774,121517829.87121242,74929036.10115774,145625068.44449443,109261434.5746678,73632109.58449443,147233788.23574758,121345163.4836818,75240829.37574758,0.0,539403253.744698
42,DÖRTYOL FSRU BAĞLANTI FAZ 2 DGBH,15378878.41,2021-03-24,9.029515554899298,30.0,22.9,0.0,1.0,138863821.82,Nested CV eğitim OOF,1057985417.6232653,910084326.5783391,919121595.8032653,789516712.2029903,806625915.3113484,650652890.3829904,165761448.96666667,168946993.79,26897627.146666676,195975211.36743268,201199093.98117992,57111389.54743269,339916128.0,144577616.0,201052306.18,280028075.32464266,229475616.04491636,141164253.50464267,207976075.92585796,242417237.45486918,69112254.10585797,165385622.30485338,315683449.57732165,26521800.484853387,0.0,604356619.221931
43,YÜKSEKOVA DGBH,14512309.5,2020-08-10,11.064102819747609,8.0,33.8,1.0,2.0,160565684.46,Nested CV eğitim OOF,0.0,0.0,-160565684.46,64778350.90828198,53711633.76865333,-95787333.55171803,120252696.39898668,135659742.46333334,-40312988.061013326,119572133.13816653,150703275.27095845,-40993551.32183348,156603552.0,141734832.0,-3962132.4600000083,144920894.98001266,147738074.5071352,-15644789.479987353,130532585.53473885,160689769.33636314,-30033098.925261155,190150263.16447222,166571472.651868,29584578.704472214,0.0,527953540.9926648
44,CEYHAN TERMİNALİ  DGBH,11111110.99,2020-07-29,11.324047069932112,16.0,13.74,0.0,2.0,125822743.85,Nested CV eğitim OOF,152311333.9603343,138400442.41520733,26488590.110334307,288156908.49781346,240961977.7430456,162334164.64781347,150818964.89791027,129810152.93333334,24996221.047910273,132783198.66800009,137325579.35260883,6960454.818000093,101017544.0,125707368.0,-24805199.849999994,93220742.19027174,139862413.14353997,-32602001.65972826,114393990.93907177,119924145.36643963,-11428752.91092822,116704471.24707419,138746300.7482679,-9118272.602925807,0.0,541164606.5224984
45,AHLAT DGBH,17614000.0,2019-06-18,12.14568203701601,8.0,40.94,1.0,2.0,213934043.4,Nested CV eğitim OOF,0.0,0.0,-213934043.4,171980529.629083,92097434.430071,-41953513.770917,131213133.98750001,169398761.54999998,-82720909.4125,138315576.14136982,164608546.90986854,-75618467.25863019,137292656.0,146473056.0,-76641387.4,158496335.8650472,167349100.26310402,-55437707.53495282,147295450.50415266,165491207.0287089,-66638592.89584735,165714355.28362843,182272399.3260736,-48219688.11637157,0.0,546696983.9958681
46,BEŞİKDÜZÜ OSB DGBH,29319275.25,2018-04-02,16.24113724127611,12.0,108.03,0.0,0.0,476178373.15,Nested CV eğitim OOF,3378112029.466089,1619709029.564902,2901933656.3160887,551240925.6769382,600332262.8610387,75062552.5269382,256707431.15666667,267979055.24666667,-219470941.9933333,450785475.082868,458499247.049682,-25392898.067131996,491248704.0,365386848.0,15070330.850000024,348019022.5749307,361321283.8514085,-128159350.57506925,1517330365.0643957,642221744.0717429,1041151991.9143957,813430689.3494939,703003196.8195869,337252316.1994939,42404067.22836971,859166882.9373662
47,AYFON SEÇKÖY DGBH,126890000.0,2018-03-29,16.66372557845378,40.0,289.6,10.0,3.0,2114460138.65,Nested CV eğitim OOF,2732790786.9509554,2539960137.9105873,618330648.3009553,2200447445.5604625,2609318675.5293574,85987306.91046238,2541716120.615,2459545698.9133334,427255981.9649997,2487505130.4821596,2485467652.582143,373044991.8321595,2130631936.0,2266552064.0,16171797.349999905,1663976636.4866147,1847675784.690487,-450483502.1633854,1278895981.5627816,2612969423.178373,-835564157.0872185,2098273186.8516407,2764286514.2974825,-16186951.798359394,2079123722.6276612,2895886538.336658
48,GÖLMARMARA DGBH,26478500.0,2018-04-05,16.241137241157922,16.0,127.2,4.0,2.0,430040952.44,Nested CV eğitim OOF,836589887.8257185,811439638.5488591,406548935.3857185,834412115.932162,850941381.5307832,404371163.49216205,610829852.6591144,653790739.6466666,180788900.21911436,520640883.7668528,668965034.1730609,90599931.3268528,556491072.0,601701056.0,126450119.56,556412935.1456308,524369975.79606444,126371982.70563084,334185868.1634186,522370881.4001749,-95855084.2765814,512196698.4543077,609558689.6450629,82155746.01430768,112259475.91235453,929022291.621351
49,BURHANİYE EDREMİT DGBH,27700000.0,2018-04-17,16.241137241155233,16.0,106.16,2.0,4.0,449879501.58,Nested CV eğitim OOF,1200024349.7066653,849921885.099822,750144848.1266654,694210748.5885222,737826921.3184264,244331247.0085222,317532175.565,256674618.79999998,-132347326.01499999,552721274.0082659,488015764.2832727,102841772.42826587,471135584.0,384581120.0,21256082.420000017,384808759.2993392,398288467.99086994,-65070742.28066081,909299904.4494213,519222837.8996533,459420402.8694213,589738379.2943244,574260438.7454139,139858877.7143244,144339866.1537676,961102681.8627641
50,ESPİYE DGBH,9397247.0,2018-02-21,16.919645305694317,8.0,35.56,1.0,2.0,158998086.09,Nested CV eğitim OOF,0.0,0.0,-158998086.09,145364956.44607878,63173679.87006724,-13633129.643921226,131213133.98750001,135659742.46333334,-27784952.10249999,138933516.95080447,155288961.9465737,-20064569.13919553,137292656.0,143681392.0,-21705430.090000004,154458351.53545994,153260810.88213366,-4539734.554540068,148042565.58415267,160552447.23478356,-10955520.505847335,162132442.6231821,167074860.88465106,3134356.5331820846,0.0,547314924.8053027
51,SİMAV DGBH,8497933.96,2018-03-09,16.6637255780698,10.0,43.23,1.0,2.0,141607239.49,Nested CV eğitim OOF,87863037.292279,92047354.50190741,-53744202.197721004,192738636.2398907,178182887.90709424,51131396.749890685,199250715.21626836,162429642.14666668,57643475.72626835,204175928.5800334,145491346.66134202,62568689.09003338,202867744.0,154235248.0,61260504.50999999,203147596.0413484,177466168.66433328,61540356.55134839,181756768.46283296,143419787.1787406,40149528.97283295,235186031.11378074,162980568.69594747,93578791.62378073,0.0,612557336.4345317
52,EMİRDAĞ OSB DGBH,2930507.2,2018-02-26,16.919645305768228,8.0,15.3,0.0,1.0,49583142.39,Nested CV eğitim OOF,0.0,0.0,-49583142.39,45136050.74205172,0.0,-4447091.64794828,125628591.605,63613111.15333333,76045449.215,105582024.55635518,78684725.83186686,55998882.16635518,141279776.0,119841400.0,91696633.61,139908648.24882132,96306106.11402357,90325505.85882132,101235597.59299506,51545659.360863835,51652455.20299506,101534850.39747286,56868022.15665197,51951708.00747286,0.0,513963432.41085345
53,BULANCAK OSB DGBH,7994503.0,2018-02-16,16.91964530628108,8.0,40.3,1.0,2.0,135264155.16,Nested CV eğitim OOF,0.0,0.0,-135264155.16,145563141.7992102,88656690.39319324,10298986.639210194,155228317.69750002,169398761.54999998,19964162.537500024,188754904.47246698,155030448.38230458,53490749.31246698,138140192.0,143681392.0,2876036.8400000036,161910891.63592887,167349100.26310402,26646736.475928873,192935577.86603552,142034797.31783432,57671422.706035525,190292090.57409072,153704115.02893472,55027935.41409072,0.0,597136312.3269652
54,BOYABAT OSB DGBH,10937729.0,2018-01-31,17.373341677234826,8.0,47.17,1.0,2.0,190024903.09,%5 sabit test,63442162.67098594,75665726.32361954,-126582740.41901407,117004137.34610742,125590927.16405308,-73020765.74389258,149616107.514,179741033.88333333,-40408795.576000005,211245280.13680053,204554492.66733754,21220377.046800524,226444592.0,210502128.0,36419688.91,218772716.4694158,189620759.31953603,28747813.37941581,223457703.64359075,202152926.6274516,33432800.553590745,212152501.9322273,213374500.88208368,22127598.84222731,0.0,619626687.9912988
55,IĞDIR OSB DGBH,6424000.0,2018-02-02,16.919645305105853,8.0,31.97,0.0,2.0,108691801.44,Nested CV eğitim OOF,255769859.67237824,111088606.27590078,147078058.23237824,157689884.8249684,43873256.28820598,48998083.3849684,116746619.04333334,120842704.42,8054817.603333339,125681758.20323321,108740353.29950467,16989956.763233215,124501368.0,113993048.0,15809566.560000002,105710958.45450234,105589596.08473164,-2980842.9854976535,94676505.05842367,109875758.86592868,-14015296.38157633,130960614.26216322,115533402.50171477,22268812.822163224,0.0,534063166.0577315
56,ŞİRAN OSB DGBH,4141473.25,2017-12-28,17.544615774108888,6.0,24.95,0.0,2.0,72660556.91,Nested CV eğitim OOF,0.0,0.0,-72660556.91,18551918.147654176,0.0,-54108638.76234582,115434735.9575,93688034.07333334,42774179.0475,118306978.02966644,91245680.65773833,45646421.11966644,96885456.0,113070024.0,24224899.090000004,144772652.88194323,111561368.41956311,72112095.97194323,64609231.03263548,82646166.55253325,-8051325.877364516,101675198.88701278,76264555.36574024,29014641.977012783,0.0,526688385.8841647
57,ŞABANÖZÜ OSB DGBH,4982466.3,2017-12-12,17.544615773919034,8.0,32.45,1.0,2.0,87415456.84,Nested CV eğitim OOF,0.0,0.0,-87415456.84,163719818.64288747,46453814.315864325,76304361.80288747,151609308.57000002,135659742.46333334,64193851.73000002,159593290.88799945,126630259.05388469,72177834.04799944,124501368.0,115391192.0,37085911.16,121500573.54871649,135427550.4698338,34085116.70871648,159272660.56457385,100345848.5490025,71857203.72457385,181341169.42323995,108946487.37389284,93925712.58323994,0.0,567974698.7424977
58,ERCİŞ DGBH,6576725.76,2017-12-14,17.544615773974435,14.0,33.9,1.0,2.0,115386126.51,Nested CV eğitim OOF,205800029.81548643,102376893.84144884,90413903.30548643,217313548.37205657,275571373.6846254,101927421.86205657,190193649.12273628,151133960.46666667,74807522.61273627,167842554.84297264,151931509.38993037,52456428.33297263,174618336.0,154372224.0,59232209.489999995,149850582.03483206,186859533.11579436,34464455.524832055,173277920.9273918,144379837.25050318,57891794.41739179,195560252.4109871,165436373.09275353,80174125.9009871,0.0,576223962.6974709
59,KARAPINAR DGBH,6468347.85,2017-11-27,17.784568079467157,10.0,39.35,1.0,1.0,115036772.7,Nested CV eğitim OOF,138750562.35014534,120606334.36051911,23713789.650145337,173368009.29459506,157323377.18352282,58331236.59459506,137011613.3620298,147598521.76333332,21974840.662029788,167624127.5747001,143216383.09725258,52587354.874700084,189892608.0,158214976.0,74855835.3,189831497.53071547,169384620.325261,74794724.83071546,123832405.09728818,129969891.45987785,8795632.397288173,187074526.8719648,158070206.314667,72037754.17196481,0.0,576005535.4291984
60,LAPSEKİ ÇANAKKALE DGBH,7973550.21,2017-10-13,18.143118546938954,16.0,44.3,1.0,1.0,144665066.7,Nested CV eğitim OOF,418119487.01999867,429208759.84411687,273454420.3199987,451830166.6480416,405257505.5039592,307165099.9480416,184327178.59500003,180031566.1,39662111.89500004,212451687.20163316,175336314.04437742,67786620.50163317,179271312.0,174816784.0,34606245.30000001,209314257.99742693,207140658.55747837,64649191.29742694,201666629.15010238,155383797.68777874,57001562.45010239,308884922.6792412,209565043.65081543,164219855.9792412,0.0,620833095.0561314
61,GÜMÜŞHACIKÖY DGBH,2195693.0,2017-08-18,18.4973016173026,8.0,9.4,0.0,1.0,40614395.68,%5 sabit test,0.0,0.0,-40614395.68,0.0,0.0,-40614395.68,118604100.614,63613111.15333333,77989704.93399999,75320979.62656654,66584857.80156467,34706583.946566544,135783184.0,119841400.0,95168788.32,101690614.27770454,108428234.36911285,61076218.59770454,54590912.152221255,46952732.49577703,13976516.472221255,70372445.51431888,48144281.524421334,29758049.834318884,0.0,483702387.4810648
62,HAKKARİ DGBH,53900000.0,2017-03-13,19.042869881261595,12.0,203.8,7.0,2.0,1026410686.6,Nested CV eğitim OOF,1028770221.3906895,1030109492.2898078,2359534.7906894684,837443746.9047444,1115207351.0044518,-188966939.69525564,863722364.155,1200939590.8933334,-162688322.44500005,1434792094.4544983,1490871128.7501652,408381407.85449827,1456132864.0,970424128.0,429722177.4,1193495433.2336187,933672330.4541637,167084746.6336187,1354983495.4597106,1338039181.1569076,328572808.8597106,1260214876.0484188,1351460695.3208187,233804189.44841874,1026410686.6,1843173502.3089967
63,ARTVİN FAZ 2 DGBH,11772072.0,2017-02-16,19.240167712192044,10.0,32.67,0.0,1.0,226496639.6,Nested CV eğitim OOF,272742236.8053826,287846641.19909805,46245597.205382615,189594969.66514105,121410611.29861099,-36901669.93485895,91630965.8675,147391735.89666668,-134865673.7325,93227852.85406677,151530409.5597837,-133268786.74593322,110260688.0,156268416.0,-116235951.6,94239644.31208378,139701571.29027265,-132256995.28791621,53223831.589449055,190216948.51282397,-173272808.01055095,171588801.54835844,207886298.01182026,-54907838.05164155,0.0,501609260.70856506
64,ARTVİN FAZ 1 DGBH,19428332.25,2017-02-10,19.240167711770525,10.0,78.01,3.0,1.0,373804370.85,Nested CV eğitim OOF,3682047.66294384,177555403.80816597,-370122323.1870562,405265292.0167278,365165821.6611707,31460921.16672778,298216253.105,403310211.98,-75588117.745,408520767.7067839,388517903.1162291,34716396.85678387,318950944.0,337569248.0,-54853426.850000024,285897903.4687543,307956725.4044628,-87906467.38124573,951364057.415218,389983675.2095723,577559686.565218,362599608.342256,423624540.8962976,-11204762.507744014,139359.85228562355,816902175.5612822
65,KELKİT DGBH,5230816.95,2017-02-16,19.2401677122347,6.0,29.5,0.0,1.0,100641795.39,Nested CV eğitim OOF,528540464.28734666,84122989.64374393,427898668.8973467,88436476.21055532,0.0,-12205319.179444686,116246779.63333333,125573859.12666667,15604984.243333325,113858915.70976634,102713668.5132155,13217120.319766343,124768872.0,119841400.0,24127076.61,157680400.5216747,120656860.67462659,57038605.13167469,139346926.41248208,99485391.36720024,38705131.02248208,159766127.1268698,107628351.87785971,59124331.7368698,0.0,522240323.5642646
